t_s,status,grams
24.794,D,47.1156
24.794,D,47.1156
24.794,D,47.1156
24.794,D,47.1156
24.996,D,47.1156
24.996,D,47.1156
24.996,D,47.1156
24.996,D,47.1155
25.198,D,47.1155
25.198,D,47.1155
25.198,D,47.1155
25.198,D,47.1155
25.198,D,47.1155
25.403,D,47.1152
25.404,D,47.1152
25.404,D,47.1151
25.404,D,47.1151
25.404,D,47.1151
25.605,D,47.1151
25.605,D,47.1151
25.605,D,47.1151
25.605,D,47.1151
25.807,D,47.1151
25.807,D,47.1151
25.807,D,47.1151
25.807,D,47.1151
25.807,D,47.1151
26.010,D,47.1151
26.010,D,47.1151
26.010,D,47.1151
26.010,D,47.1151
26.010,D,47.1151
26.214,D,47.1151
26.214,D,47.1151
26.214,D,47.1151
26.214,D,47.1151
26.416,D,47.1151
26.416,D,47.1151
26.416,D,47.1151
26.416,D,47.1151
26.416,D,47.1151
26.621,D,47.1151
26.621,D,47.1151
26.621,D,47.1151
26.621,D,47.1151
26.621,D,47.1151
26.825,D,47.1151
26.825,D,47.1450
26.825,D,47.1588
26.825,D,47.1596
27.031,D,47.1599
27.031,D,47.1599
27.031,D,47.1596
27.031,D,47.1593
27.031,D,47.1591
27.234,D,47.1589
27.234,D,47.1587
27.234,D,47.1586
27.235,D,47.1584
27.235,D,47.1582
27.437,D,47.1581
27.437,D,47.1579
27.437,D,47.1578
27.437,D,47.1578
27.639,D,47.1577
27.639,D,47.1576
27.639,D,47.1575
27.639,D,47.1573
27.639,D,47.1572
27.842,D,47.1572
27.842,D,47.1572
27.842,D,47.1572
27.842,D,47.1571
28.046,D,47.1571
28.046,D,47.1571
28.046,D,47.1571
28.046,D,47.1571
28.046,D,47.1570
28.251,D,47.1570
28.251,D,47.1570
28.252,D,47.1570
28.252,D,47.1570
28.252,D,47.1570
28.453,D,47.1570
28.453,D,47.1570
28.453,D,47.1570
28.453,D,47.1570
28.657,D,47.1570
28.657,D,47.1570
28.657,D,47.1570
28.657,D,47.1570
28.657,D,47.1570
28.860,D,47.1570
28.860,D,47.1570
28.860,D,47.1569
28.860,D,47.1569
28.860,D,47.1569
29.061,D,47.1569
29.062,D,47.1569
29.062,D,47.1569
29.062,D,47.1569
29.265,D,47.1569
29.265,D,47.1569
29.265,D,47.1569
29.265,D,47.1569
29.265,D,47.1569
29.466,D,47.1569
29.467,D,47.1569
29.467,D,47.1569
29.467,D,47.1568
29.467,D,47.1568
29.669,D,47.1568
29.669,D,47.1568
29.669,D,47.1568
29.669,D,47.1568
29.871,D,47.1568
29.871,D,47.1568
29.871,D,47.1568
29.872,D,47.1568
29.872,D,47.1568
30.075,D,47.1568
30.075,D,47.1568
30.075,D,47.1568
30.075,D,47.1812
30.277,D,47.2008
30.277,D,47.2015
30.277,D,47.2018
30.277,D,47.2017
30.277,D,47.2013
30.483,D,47.2010
30.483,D,47.2008
30.483,D,47.2006
30.483,D,47.2005
30.483,D,47.2003
30.688,D,47.2001
30.688,D,47.1999
30.688,D,47.1998
30.688,D,47.1997
30.688,D,47.1996
30.890,D,47.1995
30.890,D,47.1994
30.890,D,47.1993
30.890,D,47.1993
31.094,D,47.1991
31.094,D,47.1990
31.094,D,47.1990
31.094,D,47.1990
31.094,D,47.1990
31.296,D,47.1990
31.297,D,47.1990
31.297,D,47.1990
31.297,D,47.1990
31.297,D,47.1990
31.501,D,47.1990
31.501,D,47.1990
31.501,D,47.1990
31.501,D,47.1990
31.703,D,47.1990
31.703,D,47.1991
31.703,D,47.1991
31.703,D,47.1991
31.703,D,47.1991
31.906,D,47.1991
31.906,D,47.1992
