t_s,status,grams
21.291,D,14.6446
21.291,D,14.6446
21.497,D,14.6445
21.497,D,14.6445
21.497,D,14.6445
21.497,D,14.6445
21.700,D,14.6445
21.700,D,14.6445
21.700,D,14.6445
21.700,D,14.6445
21.700,D,14.6445
21.902,D,14.6445
21.902,D,14.6445
21.902,D,14.6445
21.902,D,14.6445
21.902,D,14.6445
22.104,D,14.6445
22.104,D,14.6445
22.104,D,14.6445
22.104,D,14.6445
22.307,D,14.6445
22.307,D,14.6445
22.307,D,14.6445
22.307,D,14.6445
22.307,D,14.6445
22.511,D,14.6445
22.511,D,14.6445
22.511,D,14.6444
22.511,D,14.6444
22.714,D,14.6444
22.714,D,14.6444
22.714,D,14.6444
22.714,D,14.6444
22.714,D,14.6443
22.916,D,14.6443
22.916,D,14.6444
22.916,D,14.6444
22.916,D,14.6638
22.916,D,14.6896
23.119,D,14.6899
23.119,D,14.6897
23.119,D,14.6891
23.119,D,14.6885
23.334,D,14.6880
23.334,D,14.6877
23.334,D,14.6875
23.334,D,14.6873
23.334,D,14.6871
23.536,D,14.6868
23.537,D,14.6866
23.537,D,14.6864
23.537,D,14.6862
23.537,D,14.6861
23.742,D,14.6861
23.742,D,14.6861
23.742,D,14.6859
23.742,D,14.6858
23.742,D,14.6857
23.943,D,14.6857
23.943,D,14.6856
23.943,D,14.6856
23.943,D,14.6856
24.146,D,14.6856
24.146,D,14.6856
24.146,D,14.6856
24.146,D,14.6856
24.146,D,14.6856
24.347,D,14.6856
24.347,D,14.6856
24.347,D,14.6856
24.347,D,14.6856
24.347,D,14.6856
24.550,D,14.6856
24.550,D,14.6856
24.550,D,14.6856
24.550,D,14.6856
24.754,D,14.6856
24.754,D,14.6856
24.754,D,14.6856
24.754,D,14.6856
24.754,D,14.6855
24.955,D,14.6855
24.955,D,14.6855
24.955,D,14.6855
24.955,D,14.6855
24.955,D,14.6855
25.158,D,14.6855
25.158,D,14.6855
25.158,D,14.6855
25.158,D,14.6855
25.361,D,14.6855
25.361,D,14.6855
25.361,D,14.6855
25.361,D,14.6855
25.361,D,14.6856
25.566,D,14.6859
25.566,D,14.7253
25.566,D,14.7310
25.566,D,14.7311
25.566,D,14.7308
25.770,D,14.7302
25.770,D,14.7296
25.770,D,14.7293
25.770,D,14.7291
25.970,D,14.7289
25.970,D,14.7287
25.970,D,14.7285
25.970,D,14.7282
25.970,D,14.7280
26.173,D,14.7278
26.174,D,14.7276
26.174,D,14.7275
26.174,D,14.7275
26.374,D,14.7273
26.374,D,14.7272
26.374,D,14.7271
26.374,D,14.7270
26.374,D,14.7268
26.578,D,14.7268
26.578,D,14.7269
26.578,D,14.7269
26.578,D,14.7270
26.578,D,14.7271
26.780,D,14.7271
26.780,D,14.7271
26.780,D,14.7271
26.780,D,14.7271
26.984,D,14.7272
26.984,D,14.7272
26.984,D,14.7272
26.984,D,14.7271
26.984,D,14.7271
27.185,D,14.7271
27.185,D,14.7271
27.185,D,14.7271
27.185,D,14.7271
27.185,D,14.7270
27.391,D,14.7270
27.391,D,14.7270
27.391,D,14.7270
27.391,D,14.7270
27.600,D,14.7270
27.600,D,14.7269
27.600,D,14.7269
27.600,D,14.7269
27.600,D,14.7269
27.807,D,14.7269
27.807,D,14.7269
27.807,D,14.7269
27.807,D,14.7269
27.807,D,14.7269
28.015,D,14.7269
28.015,D,14.7269
28.015,D,14.7269
28.015,D,14.7432
28.015,D,14.7720
28.222,D,14.7724
28.222,D,14.7721
28.222,D,14.7715
28.222,D,14.7709
28.431,D,14.7704
28.431,D,14.7702
28.431,D,14.7700
28.431,D,14.7698
